Window,Available Observations,Missingness,Feature Variance,Sequence Length
12h,70,0.8284313725490197,67.98312154882154,38
24h,148,0.8186274509803921,26.70845960595305,38
6h,38,0.8137254901960784,24.999999999999996,17
6h,46,0.7745098039215687,14.04325875,41
12h,110,0.7303921568627451,14.648807196969699,41
24h,209,0.7438725490196079,59.47433554959533,41
6h,30,0.8529411764705882,14.01,83
12h,60,0.8529411764705882,32.51651515151515,83
24h,137,0.8321078431372549,38.57327415458938,83
48h,264,0.8382352941176471,58.03158935587395,83
6h,49,0.7598039215686274,27.101215277777783,74
12h,88,0.7843137254901961,28.485401370851367,74
24h,183,0.7757352941176471,91.81601835430811,74
48h,336,0.7941176470588235,108.8128613778577,74
6h,61,0.7009803921568627,10.052777777777777,31
12h,107,0.7377450980392157,16.321009269162207,31
6h,50,0.7549019607843137,12.129704761904762,71
12h,78,0.8088235294117647,17.16029247159091,71
24h,117,0.8566176470588235,28.71182193362194,71
48h,238,0.8541666666666666,67.12584784856236,71
6h,60,0.7058823529411765,17.210204545454545,18
6h,70,0.6568627450980392,18.727133333333335,21
6h,44,0.7843137254901961,62.75903333333333,108
12h,77,0.8112745098039216,306.8840571428571,108
24h,138,0.8308823529411765,197.09236096377307,108
48h,204,0.875,94.14549167492099,108
6h,45,0.7794117647058824,130.7904761904762,161
12h,106,0.7401960784313726,75.71481975524476,161
24h,204,0.75,45.542301981408286,161
48h,390,0.7610294117647058,134.7863890189347,161
6h,46,0.7745098039215687,23.84368333333333,62
12h,107,0.7377450980392157,22.05228717040535,62
24h,209,0.7438725490196079,204.81676878191857,62
48h,360,0.7794117647058824,106.60626966210408,62
6h,47,0.7696078431372549,41.79598958333334,79
12h,96,0.7647058823529411,25.61063272727273,79
24h,222,0.7279411764705882,86.40757120448178,79
48h,464,0.7156862745098039,406.1681954764573,79
6h,44,0.7843137254901961,46.143750000000004,32
12h,86,0.7892156862745098,20.22591722488038,32
6h,48,0.7647058823529411,23.925388095238098,138
12h,116,0.7156862745098039,22.68855055096419,138
24h,210,0.7426470588235294,47.86677787247475,138
48h,391,0.7604166666666666,63.608631795081244,138
6h,57,0.7205882352941176,26.2875,22
12h,97,0.7622549019607843,177.51568737373736,22
6h,43,0.7892156862745098,23.277222916666666,81
12h,92,0.7745098039215687,21.981863774104685,81
24h,171,0.7904411764705882,18.431556709101176,81
48h,347,0.7873774509803921,90.26422922543237,81
6h,39,0.8088235294117647,36.86992142857143,81
12h,78,0.8088235294117647,34.1761446969697,81
24h,185,0.7732843137254902,33.60200687198067,81
48h,368,0.7745098039215687,762.8176336424933,81
6h,33,0.8382352941176471,24.682350000000003,221
12h,76,0.8137254901960784,29.792973611111112,221
24h,126,0.8455882352941176,37.642548725490194,221
48h,303,0.8143382352941176,323.91273686870153,221
6h,53,0.7401960784313726,57.35986666666667,51
12h,130,0.6813725490196079,62.877302388591794,51
24h,241,0.7046568627450981,86.29171079471388,51
6h,59,0.7107843137254902,21.720564444444445,75
12h,103,0.7475490196078431,26.476114260249553,75
24h,208,0.7450980392156863,75.6862656787555,75
48h,347,0.7873774509803921,52.56232751245659,75
6h,80,0.6078431372549019,2.301018518518519,32
12h,140,0.6568627450980392,8.30181250909091,32
6h,40,0.803921568627451,4.367857142857143,39
12h,89,0.7818627450980392,9.636089807162534,39
24h,205,0.7487745098039216,6.754448592949766,39
6h,27,0.8676470588235294,52.470000000000006,18
6h,33,0.8382352941176471,17.49285714285714,42
12h,76,0.8137254901960784,33.25895416666666,42
24h,167,0.7953431372549019,36.3500278904992,42
6h,29,0.8578431372549019,154.3267542857143,215
12h,67,0.8357843137254902,98.60823214285713,215
24h,118,0.8553921568627451,126.65003734569268,215
48h,266,0.8370098039215687,100.16383221114802,215
6h,47,0.7696078431372549,7.260433333333332,81
12h,102,0.75,139.97671519607843,81
24h,223,0.7267156862745098,86.67087530663781,81
48h,397,0.7567401960784313,81.92592970342999,81
6h,42,0.7941176470588235,22.244947916666668,153
12h,83,0.7965686274509803,26.372973484848483,153
24h,166,0.7965686274509803,16.280268648018648,153
48h,346,0.7879901960784313,21.3238782967759,153
6h,40,0.803921568627451,99.60983095238096,61
12h,82,0.7990196078431373,65.96201071428571,61
24h,208,0.7450980392156863,40.096946774421234,61
48h,411,0.7481617647058824,138.14824442782256,61
6h,62,0.696078431372549,27.677541666666666,43
12h,102,0.75,33.18607638888889,43
24h,177,0.7830882352941176,40.051611846034405,43
6h,53,0.7401960784313726,2.7114583333333333,33
12h,96,0.7647058823529411,6.0716723484848485,33
6h,25,0.8774509803921569,16.207963888888887,63
12h,51,0.875,38.44293262385762,63
24h,140,0.8284313725490197,11.761409557295295,63
48h,299,0.8167892156862745,21.134917062973,63
6h,40,0.803921568627451,96.99408958333333,97
12h,78,0.8088235294117647,70.38006363636364,97
24h,178,0.7818627450980392,25.308120199275365,97
48h,363,0.7775735294117647,93.07947579752192,97
6h,75,0.6323529411764706,36.29259588888888,17
6h,28,0.8627450980392157,68.71612,101
12h,61,0.8504901960784313,55.3570702020202,101
24h,132,0.8382352941176471,90.83682438332602,101
48h,274,0.8321078431372549,73.37281559902914,101
6h,43,0.7892156862745098,24.343035714285712,45
12h,94,0.7696078431372549,17.683344077134986,45
24h,186,0.7720588235294118,70.9765257004831,45
6h,35,0.8284313725490197,3.167422916666667,18
6h,55,0.7303921568627451,8.52295641025641,152
12h,107,0.7377450980392157,12.99000609307359,152
24h,224,0.7254901960784313,39.831646227533234,152
48h,437,0.7322303921568627,46.97475822782231,152
6h,45,0.7794117647058824,18.524583333333336,173
12h,87,0.7867647058823529,19.215536616161614,173
24h,190,0.7671568627450981,20.8668226049313,173
48h,382,0.7659313725490197,89.61831235792296,173
6h,74,0.6372549019607843,7.870993650793652,78
12h,118,0.7107843137254902,72.64894269972451,78
24h,213,0.7389705882352942,55.255255461865026,78
48h,417,0.7444852941176471,140.4224715361079,78
6h,42,0.7941176470588235,99.26324479166666,220
12h,74,0.8186274509803921,84.30113172979799,220
24h,167,0.7953431372549019,77.1693400779617,220
48h,347,0.7873774509803921,25.08665795287402,220
6h,46,0.7745098039215687,8.894444444444446,24
12h,78,0.8088235294117647,16.668531515151514,24
6h,40,0.803921568627451,104.33825625000001,76
12h,78,0.8088235294117647,108.44280037878787,76
24h,184,0.7745098039215687,32.14542954164067,76
48h,370,0.7732843137254902,73.79755475901848,76
6h,21,0.8970588235294118,16.4,17
6h,52,0.7450980392156863,21.477214583333332,44
12h,119,0.7083333333333334,5.027166391184573,44
24h,256,0.6862745098039216,164.4667398553379,44
6h,37,0.8186274509803921,38.522400000000005,55
12h,89,0.7818627450980392,34.39564484848485,55
24h,169,0.7928921568627451,95.73783471532091,55
6h,67,0.6715686274509803,25.092355158730157,18
6h,66,0.6764705882352942,41.989337500000005,90
12h,137,0.6642156862745098,32.99068955176768,90
24h,282,0.6544117647058824,48.279372970439375,90
48h,497,0.6954656862745098,448.90508197005164,90
6h,41,0.7990196078431373,9.358920000000001,20
6h,41,0.7990196078431373,33.51819875,156
12h,83,0.7965686274509803,84.00159147727271,156
24h,176,0.7843137254901961,64.06054492236025,156
48h,333,0.7959558823529411,76.45826495341615,156
6h,33,0.8382352941176471,12.420700000000002,40
12h,56,0.8627450980392157,13.745357239057236,40
24h,140,0.8284313725490197,20.701692700384502,40
6h,32,0.8431372549019608,55.822542,23
12h,84,0.7941176470588235,121.48974794372296,23
6h,45,0.7794117647058824,60.03340066666667,184
12h,78,0.8088235294117647,72.33328383838384,184
24h,144,0.8235294117647058,56.65648593611358,184
48h,307,0.8118872549019608,57.630554362055115,184
6h,28,0.8627450980392157,40.28333333333333,70
12h,52,0.8725490196078431,33.93483345959596,70
24h,127,0.8443627450980392,41.48306785243742,70
48h,333,0.7959558823529411,46.08528059997967,70
6h,35,0.8284313725490197,43.83888888888888,45
12h,83,0.7965686274509803,283.52955606060607,45
24h,154,0.8112745098039216,139.0974447635778,45
6h,37,0.8186274509803921,50.80305625,173
12h,102,0.75,22.279133403479236,173
24h,189,0.7683823529411765,26.525858225931678,173
48h,383,0.7653186274509803,95.18230496177581,173
6h,57,0.7205882352941176,137.40833333333333,167
12h,107,0.7377450980392157,41.56885204545455,167
24h,216,0.7352941176470589,70.97269477470356,167
48h,410,0.7487745098039216,74.16300172256152,167
6h,78,0.6176470588235294,26.5902875,16
6h,68,0.6666666666666666,167.06352947916668,18
6h,72,0.6470588235294118,22.041409523809527,37
12h,136,0.6666666666666666,22.520280923520925,37
24h,279,0.6580882352941176,38.49577184367333,37
6h,86,0.5784313725490197,21.132546031746035,86
12h,177,0.5661764705882353,23649.023632355813,86
24h,317,0.6115196078431373,23797.302803302387,86
48h,625,0.6170343137254902,23876.099687064558,86
6h,47,0.7696078431372549,45.691286111111104,23
12h,98,0.7598039215686274,15.31743391053391,23
6h,34,0.8333333333333334,21.45965,161
12h,75,0.8161764705882353,121.97017130681817,161
24h,182,0.7769607843137255,34.7208598061359,161
48h,361,0.7787990196078431,89.75632119826632,161
6h,0,1.0,,28
12h,25,0.9387254901960784,12.55,28
6h,43,0.7892156862745098,8.158141666666666,57
12h,81,0.8014705882352942,22.95945871212121,57
24h,179,0.7806372549019608,31.960225205314003,57
48h,357,0.78125,397.8710889185363,57
6h,42,0.7941176470588235,6.641845238095238,128
12h,106,0.7401960784313726,13.117436019283746,128
24h,184,0.7745098039215687,15.362036201726466,128
48h,353,0.7837009803921569,28.230614655373518,128
6h,45,0.7794117647058824,62.49626666666667,31
12h,104,0.7450980392156863,65.97294589646465,31
6h,49,0.7598039215686274,39.77992333333333,34
12h,120,0.7058823529411765,36.45571713498623,34
24h,244,0.7009803921568627,115.83784858111392,34
6h,23,0.8872549019607843,42.79761904761905,225
12h,71,0.8259803921568627,116.88736488095239,225
24h,148,0.8186274509803921,87.72798423611111,225
48h,325,0.8008578431372549,40.67698917991073,225
6h,29,0.8578431372549019,19.305555555555557,72
12h,70,0.8284313725490197,43.05600627705628,72
24h,164,0.7990196078431373,198.07592170426068,72
48h,352,0.7843137254901961,141.85419543198944,72
6h,35,0.8284313725490197,28.609533333333335,279
12h,71,0.8259803921568627,23.030105454545453,279
24h,155,0.8100490196078431,54.762735798199394,279
48h,296,0.8186274509803921,28.585739569110785,279
6h,26,0.8725490196078431,27.823876666666667,127
12h,52,0.8725490196078431,33.14904909090909,127
24h,127,0.8443627450980392,16.912767888198758,127
48h,280,0.8284313725490197,38.91229988927574,127
6h,58,0.7156862745098039,95.74929791666668,57
12h,84,0.7941176470588235,66.7995303030303,57
24h,168,0.7941176470588235,71.84677288499024,57
6h,26,0.8725490196078431,14.876223333333334,16
6h,40,0.803921568627451,24.594047619047622,30
12h,78,0.8088235294117647,19.47453636363636,30
6h,73,0.6421568627450981,2.9189999999999996,18
6h,70,0.6568627450980392,65.56287246376812,16
6h,0,1.0,,123
12h,0,1.0,,123
24h,48,0.9411764705882353,269.2142857142857,123
48h,219,0.8658088235294118,61.20142345969872,123
6h,13,0.9362745098039216,,45
12h,13,0.9681372549019608,,45
24h,37,0.9546568627450981,18.321209999999997,45
6h,67,0.6715686274509803,17.102039393939393,25
12h,111,0.7279411764705882,25.842090358126722,25
6h,60,0.7058823529411765,6.971238095238095,85
12h,119,0.7083333333333334,5.995235968379446,85
24h,211,0.741421568627451,14.973934775060387,85
48h,450,0.7242647058823529,24.068839600134734,85
6h,54,0.7352941176470589,16.47073333333333,43
12h,124,0.696078431372549,10.47373724941725,43
24h,188,0.7696078431372549,18.96676680680431,43
6h,34,0.8333333333333334,13.255585000000002,34
12h,67,0.8357843137254902,22.906230735930738,34
24h,147,0.8198529411764706,137.42845302089216,34
6h,48,0.7647058823529411,23.602796666666666,117
12h,79,0.8063725490196079,44.33824718614718,117
24h,150,0.8161764705882353,26.891246630317145,117
48h,300,0.8161764705882353,79.38864277806033,117
6h,43,0.7892156862745098,1.5694444444444444,41
12h,69,0.8308823529411765,4.5717560217560225,41
24h,141,0.8272058823529411,148.01539107796393,41
6h,66,0.6764705882352942,9.886764705882353,25
12h,118,0.7107843137254902,33.20434118181818,25
6h,0,1.0,,198
12h,25,0.9387254901960784,1.27508,198
24h,103,0.8737745098039216,59.99968251748251,198
48h,244,0.8504901960784313,222.8321932091982,198
6h,71,0.6519607843137255,17.53423,110
12h,140,0.6568627450980392,8895.366932878787,110
24h,272,0.6666666666666666,45608.43138142357,110
48h,542,0.6678921568627451,150801.68019110203,110
6h,38,0.8137254901960784,2.8055555555555554,32
12h,85,0.7916666666666666,7.8670221763085415,32
6h,40,0.803921568627451,50.64174222222223,76
12h,74,0.8186274509803921,86.82264047619049,76
24h,150,0.8161764705882353,43.48396965556183,76
48h,290,0.8223039215686274,126.77461009549147,76
6h,36,0.8235294117647058,73.94474444444444,265
12h,71,0.8259803921568627,20.926088816738815,265
24h,125,0.8468137254901961,19.236014589416794,265
48h,257,0.8425245098039216,52.58282167320927,265
6h,33,0.8382352941176471,12.162500000000001,47
12h,78,0.8088235294117647,39.23967922077922,47
24h,142,0.8259803921568627,42.331346307171096,47
6h,11,0.946078431372549,16.9,93
12h,28,0.9313725490196079,12.238471666666667,93
24h,107,0.8688725490196079,42.00341955182073,93
48h,242,0.8517156862745098,354.6567786705226,93
6h,31,0.8480392156862745,20.76666666666667,25
12h,61,0.8504901960784313,50.77274478114478,25
6h,50,0.7549019607843137,9.581064583333333,25
12h,130,0.6813725490196079,301.5641508909091,25
6h,51,0.75,101.08075757575757,104
12h,100,0.7549019607843137,109.98719524793387,104
24h,211,0.741421568627451,182.99073245608255,104
48h,437,0.7322303921568627,120.4974455480542,104
6h,51,0.75,1.7904761904761906,17
6h,34,0.8333333333333334,9.0875,26
12h,106,0.7401960784313726,27.066823545454547,26
6h,53,0.7401960784313726,10.034027777777778,219
12h,92,0.7745098039215687,32.34375268065268,219
24h,190,0.7671568627450981,18.77379776613966,219
48h,377,0.7689950980392157,49.415951861322256,219
6h,45,0.7794117647058824,27.451733333333333,97
12h,83,0.7965686274509803,29.07313901515151,97
24h,200,0.7549019607843137,21.935360503795724,97
48h,391,0.7604166666666666,64.43397440885552,97
6h,43,0.7892156862745098,90.87675629629628,27
12h,83,0.7965686274509803,64.13702247474748,27
6h,59,0.7107843137254902,90.28979358974358,16
6h,28,0.8627450980392157,182.50333333333333,226
12h,57,0.8602941176470589,105.69342727272728,226
24h,139,0.8296568627450981,50.475264740655994,226
48h,279,0.8290441176470589,122.62267899797276,226
6h,52,0.7450980392156863,14.27440238095238,17
6h,57,0.7205882352941176,28.29062916666667,90
12h,104,0.7450980392156863,43.21399696969697,90
24h,181,0.7781862745098039,67.25026233280005,90
48h,370,0.7732843137254902,92.31490501147722,90
6h,36,0.8235294117647058,26.895947222222222,53
12h,65,0.8406862745098039,30.57776191077441,53
24h,126,0.8455882352941176,40.69066577889883,53
6h,33,0.8382352941176471,12.614179333333336,33
12h,81,0.8014705882352942,28.43801439393939,33
24h,156,0.8088235294117647,27.453681493558776,33
6h,26,0.8725490196078431,58.467026666666676,25
12h,55,0.8651960784313726,46.30175515151515,25
6h,62,0.696078431372549,33.62830151515151,22
12h,118,0.7107843137254902,71.9691197845805,22
6h,53,0.7401960784313726,10.455289166666667,22
12h,90,0.7794117647058824,43.77825907407407,22
6h,57,0.7205882352941176,16.67738846153846,229
12h,131,0.678921568627451,21.616638363224077,229
24h,252,0.6911764705882353,25.690255381006157,229
48h,488,0.7009803921568627,63.794396022959994,229
6h,56,0.7254901960784313,10.145238095238096,25
12h,110,0.7303921568627451,16.899725837320574,25
6h,51,0.75,162.45817083333336,39
12h,96,0.7647058823529411,284.903667768595,39
24h,191,0.7659313725490197,315.77208853887595,39
6h,72,0.6470588235294118,5.393421052631579,29
12h,119,0.7083333333333334,8.667631389986823,29
6h,31,0.8480392156862745,106.48666666666668,48
12h,56,0.8627450980392157,69.47146178451179,48
24h,139,0.8296568627450981,69.00442140010351,48
6h,32,0.8431372549019608,10.271841666666665,235
12h,76,0.8137254901960784,8.842938383838383,235
24h,140,0.8284313725490197,13.377109064558631,235
48h,268,0.8357843137254902,935.0638185902482,235
6h,56,0.7254901960784313,15.857142857142858,47
12h,103,0.7475490196078431,7.038001893939393,47
24h,232,0.7156862745098039,174.10041938505336,47
6h,44,0.7843137254901961,8.215139583333332,36
12h,82,0.7990196078431373,17.480123746867168,36
24h,177,0.7830882352941176,24.772657239667797,36
6h,61,0.7009803921568627,17.00131979166667,145
12h,136,0.6666666666666666,8.896288439955107,145
24h,263,0.6776960784313726,15.94171787165941,145
48h,510,0.6875,30.996524532417467,145
6h,64,0.6862745098039216,15.719908888888888,16
6h,40,0.803921568627451,20.6197619047619,89
12h,85,0.7916666666666666,28.240238068181817,89
24h,191,0.7659313725490197,19.968574929508037,89
48h,394,0.758578431372549,38.25934567588527,89
6h,28,0.8627450980392157,106.43986666666667,38
12h,56,0.8627450980392157,87.42164595959595,38
24h,114,0.8602941176470589,77.305017123408,38
6h,27,0.8676470588235294,93.6438,173
12h,69,0.8308823529411765,69.14546010101009,173
24h,132,0.8382352941176471,132.67244896319,173
48h,279,0.8290441176470589,108.38999461119053,173
6h,64,0.6862745098039216,46.70156444444444,40
12h,106,0.7401960784313726,31.327375757575766,40
24h,227,0.7218137254901961,38.936784968737065,40
6h,33,0.8382352941176471,45.043506666666666,75
12h,65,0.8406862745098039,109.24830681818183,75
24h,149,0.8174019607843137,119.49244944828723,75
48h,277,0.8302696078431373,119.8910851424152,75
6h,45,0.7794117647058824,8.689285714285713,56
12h,105,0.7426470588235294,118.31915204991087,56
24h,193,0.7634803921568627,155.80996899264846,56
6h,38,0.8137254901960784,50.37673611111111,71
12h,90,0.7794117647058824,116.4318699810606,71
24h,175,0.7855392156862745,199.27484495079875,71
48h,310,0.8100490196078431,256.9721334843778,71
6h,60,0.7058823529411765,21.081870833333337,16
6h,71,0.6519607843137255,1.9349599999999998,21
6h,46,0.7745098039215687,26.69357777777778,21
12h,71,0.8259803921568627,38.245934898989894,21
6h,40,0.803921568627451,352.52680624999994,54
12h,99,0.7573529411764706,102.94146531986533,54
24h,180,0.7794117647058824,125.18185804264174,54
6h,57,0.7205882352941176,84.67793819444444,17
6h,45,0.7794117647058824,24.28388125,20
6h,37,0.8186274509803921,7.492922222222222,34
12h,71,0.8259803921568627,18.344930476190477,34
24h,150,0.8161764705882353,249.10399299516908,34
6h,55,0.7303921568627451,4.983813888888889,32
12h,98,0.7598039215686274,92.40748683982684,32
6h,46,0.7745098039215687,7.5129809523809525,26
12h,98,0.7598039215686274,6.943785909090909,26
6h,53,0.7401960784313726,75.80233750000001,17
6h,58,0.7156862745098039,36.68680833333333,79
12h,104,0.7450980392156863,40.69157015151515,79
24h,191,0.7659313725490197,115.61219572845158,79
48h,387,0.7628676470588235,53.54365634328749,79
6h,34,0.8333333333333334,7.690781250000001,62
12h,67,0.8357843137254902,86.50078090277778,62
24h,133,0.8370098039215687,58.74215662750626,62
48h,314,0.8075980392156863,38.07907347318949,62
6h,48,0.7647058823529411,93.60555555555555,20
6h,37,0.8186274509803921,55.73350142857142,219
12h,66,0.8382352941176471,80.30446984848484,219
24h,140,0.8284313725490197,78.18896856625258,219
48h,286,0.8247549019607843,39.361233683998705,219
6h,32,0.8431372549019608,61.45924761904762,79
12h,91,0.7769607843137255,39.72955097001764,79
24h,171,0.7904411764705882,36.80879230595428,79
48h,361,0.7787990196078431,25.554811595980915,79
6h,42,0.7941176470588235,48.74666666666667,17
6h,68,0.6666666666666666,19.551907142857143,212
12h,144,0.6470588235294118,32.06043449091757,212
24h,269,0.6703431372549019,75.29132257123244,212
48h,507,0.6893382352941176,155.81583159920422,212
6h,48,0.7647058823529411,4.495806250000001,46
12h,91,0.7769607843137255,8.745588111888113,46
24h,190,0.7671568627450981,181.0473003961352,46
6h,24,0.8823529411764706,7.833172222222221,21
6h,57,0.7205882352941176,5.611380555555556,81
12h,102,0.75,6.541122159090909,81
24h,189,0.7683823529411765,28.34384854633427,81
48h,401,0.7542892156862745,108.00532783234887,81
6h,26,0.8725490196078431,8.958333333333334,41
12h,52,0.8725490196078431,8.784369090909092,41
24h,121,0.8517156862745098,8.031973173617272,41
6h,43,0.7892156862745098,5.598933999999999,26
12h,76,0.8137254901960784,14.592141035353533,26
6h,60,0.7058823529411765,28.049178205128207,17
6h,52,0.7450980392156863,60.84285714285714,35
12h,118,0.7107843137254902,72.51033708827404,35
24h,226,0.7230392156862745,48.55062934275653,35
6h,69,0.6617647058823529,114.29325999999998,37
12h,144,0.6470588235294118,205.8290119047619,37
24h,234,0.7132352941176471,538.6865611630036,37
6h,23,0.8872549019607843,50.57142857142857,31
12h,66,0.8382352941176471,32.39398593073593,31
6h,40,0.803921568627451,65.747045,223
12h,80,0.803921568627451,60.66511543560606,223
24h,174,0.7867647058823529,81.41793456586439,223
48h,350,0.7855392156862745,31.087495572780057,223
