Feature,Class,Count,Missing Count,Observation Rate,Mean,Median,Std,Variance,Min,Max,Q1,Q3,IQR,1st Percentile,99th Percentile
Chloride,All,70466,1481744,0.04539720785203033,105.82790991400108,106.0,5.880461932102423,34.57983253490576,26.0,145.0,102.0,109.0,7.0,90.0,120.0
Chloride,Sepsis-Positive,1912,26004,0.06849118784926207,105.46260460251047,106.0,6.280803785760813,39.44849619522737,73.0,128.0,101.0,109.0,8.0,89.11,120.0
Chloride,Sepsis-Negative,68554,1455740,0.044974263495100024,105.83809843335182,106.0,5.8686277043769115,34.440791132580216,26.0,145.0,102.0,109.0,7.0,90.0,120.0
Creatinine,All,94616,1457594,0.060955669658100384,1.5106993531749386,0.94,1.8056025377921143,3.2602005244813235,0.1,46.6,0.7,1.43,0.73,0.37,9.7
Creatinine,Sepsis-Positive,2162,25754,0.07744662559105889,1.8475948196114709,1.2,1.881988877408302,3.5418821346885605,0.2,19.51,0.8,2.1,1.3,0.35,9.505299999999966
Creatinine,Sepsis-Negative,92454,1431840,0.0606536534290629,1.5028211867523305,0.93,1.8030350904834989,3.250935537514839,0.1,46.6,0.7,1.41,0.71,0.37,9.7
Bilirubin_direct,All,2990,1549220,0.0019262857474181972,1.8361772575250839,0.445,3.6940820633028757,13.64624229041603,0.01,37.5,0.2,1.7,1.5,0.06,19.822000000000028
Bilirubin_direct,Sepsis-Positive,130,27786,0.004656827625734346,2.848076923076923,0.6499999999999999,4.931727702699313,24.321938133571848,0.1,22.2,0.2,3.05,2.8499999999999996,0.1,21.135999999999992
Bilirubin_direct,Sepsis-Negative,2860,1521434,0.0018762784607168957,1.790181818181818,0.4,3.622243149952084,13.120645437374796,0.01,37.5,0.2,1.7,1.5,0.06,19.681999999999974
Glucose,All,265516,1286694,0.17105675134163548,136.9322832898959,127.0,51.31072775054428,2632.790782290475,10.0,988.0,106.0,153.0,47.0,65.0,326.0
Glucose,Sepsis-Positive,5091,22825,0.18236853417395044,140.02921822824592,129.0,54.216460151264975,2939.4245513337028,23.5,733.0,107.0,159.0,52.0,60.0,341.10000000000036
Glucose,Sepsis-Negative,260425,1263869,0.17084958675950965,136.87174188345972,126.5,51.25052742071229,2626.616560901182,10.0,988.0,106.0,153.0,47.0,65.0,326.0
Lactate,All,41446,1510764,0.026701283975750705,2.64666602325918,1.8,2.5262143545552327,6.381758965160912,0.2,31.0,1.26,3.0,1.74,0.6,14.216500000000087
Lactate,Sepsis-Positive,1961,25955,0.07024645364665424,2.7263640999490057,1.7,2.8167993104086584,7.934358355118692,0.4,21.52,1.2,3.0,1.8,0.6,14.722000000000007
Lactate,Sepsis-Negative,39485,1484809,0.02590379546203029,2.642707863745726,1.8,2.5108798990332595,6.30451786736927,0.2,31.0,1.27,3.0,1.73,0.6,14.157999999999811
Magnesium,All,97951,1454259,0.0631042191456053,2.05145021490337,2.0,0.397897743859376,0.1583226145683816,0.2,9.8,1.8,2.2,0.40000000000000013,1.3,3.3
Magnesium,Sepsis-Positive,2394,25522,0.08575727181544635,2.0670634920634923,2.0,0.41632255505704896,0.17332446984922958,0.9,8.2,1.8,2.3,0.4999999999999998,1.2,3.3
Magnesium,Sepsis-Negative,95557,1428737,0.06268934995479875,2.05105905375849,2.0,0.3974195780054603,0.15794232098203814,0.2,9.8,1.8,2.2,0.40000000000000013,1.3,3.3
Phosphate,All,62301,1489909,0.04013696600331141,3.544237652686153,3.3,1.4232859439647219,2.0257428782875495,0.2,18.8,2.6,4.1,1.4999999999999996,1.1,8.5
Phosphate,Sepsis-Positive,1645,26271,0.05892678034102307,3.716960486322188,3.4,1.592900116161679,2.53733078006789,0.6,12.0,2.7,4.4,1.7000000000000002,1.2,9.155999999999993
Phosphate,Sepsis-Negative,60656,1463638,0.039792848361274134,3.5395533830123975,3.3,1.418125207146082,2.0110791031431177,0.2,18.8,2.6,4.1,1.4999999999999996,1.1,8.5
Potassium,All,144525,1407685,0.09310917981458694,4.135527970939284,4.1,0.6421499058681686,0.4123565016064977,1.0,27.5,3.7,4.4,0.7000000000000002,2.9,6.1
Potassium,Sepsis-Positive,3681,24235,0.13185986531021637,4.158788372724803,4.1,0.7170678133563981,0.5141862489517263,2.0,9.4,3.7,4.5,0.7999999999999998,2.8,6.4
Potassium,Sepsis-Negative,140844,1383450,0.09239949773468897,4.134920053392405,4.1,0.6400658345493806,0.4096842725573951,1.0,27.5,3.7,4.4,0.7000000000000002,2.9,6.1
Bilirubin_total,All,23141,1529069,0.014908420896657025,2.1140594615617303,0.9,4.31146846169665,18.58876029620488,0.1,49.6,0.5,1.7,1.2,0.2,25.1
Bilirubin_total,Sepsis-Positive,805,27111,0.028836509528585758,3.1957763975155284,1.2,6.025225851937433,36.30334656685517,0.1,45.9,0.6,2.6,2.0,0.2,34.34800000000014
Bilirubin_total,Sepsis-Negative,22336,1501958,0.014653341153347058,2.075073871776504,0.8,4.231810705083399,17.908221843658456,0.1,49.6,0.5,1.6,1.1,0.2,24.8
TroponinI,All,14781,1537429,0.00952255171658474,8.290099451999188,0.3,24.806235346798832,615.3493120807717,0.01,440.0,0.04,3.98,3.94,0.01,135.46000000000004
TroponinI,Sepsis-Positive,320,27596,0.011462960309499929,9.534187499999998,0.265,31.29097897928371,979.125365481975,0.01,200.0,0.06,2.3775,2.3175,0.01,200.0
TroponinI,Sepsis-Negative,14461,1509833,0.009487014972177283,8.262569670147293,0.3,24.64409961605344,607.3316458859653,0.01,440.0,0.04,4.0,3.96,0.01,131.2279999999996
Hct,All,137433,1414777,0.08854021040967396,30.794093340027505,30.3,5.491748792624091,30.15930480128816,5.5,71.7,27.0,34.1,7.100000000000001,19.5,45.1
Hct,Sepsis-Positive,3133,24783,0.11222954578019774,30.257382700287266,29.8,5.507831216156216,30.336204705664862,14.4,65.0,26.4,33.5,7.100000000000001,19.232,45.0
Hct,Sepsis-Negative,134300,1389994,0.08810636268331437,30.806613924050634,30.3,5.49076744389406,30.148527122926915,5.5,71.7,27.0,34.1,7.100000000000001,19.5,45.1
Hgb,All,114591,1437619,0.07382441808775875,10.43083278791528,10.3,1.9686608112841861,3.8756253898861095,2.2,32.0,9.1,11.7,2.5999999999999996,6.5,15.5
Hgb,Sepsis-Positive,2685,25231,0.09618140134689783,10.195057728119181,10.0,1.928864819478728,3.720519491822705,4.6,21.0,8.8,11.3,2.5,6.684,15.4
Hgb,Sepsis-Negative,111906,1412388,0.0734149711276171,10.436489821814739,10.3,1.969267472657072,3.878014378865172,2.2,32.0,9.1,11.7,2.5999999999999996,6.5,15.5
PTT,All,45699,1506511,0.029441248284703746,41.23119346156371,32.4,26.217668854718724,687.3661601756883,12.5,250.0,27.8,42.8,14.999999999999996,21.0,150.0
PTT,Sepsis-Positive,1224,26692,0.04384582318383723,43.992810457516335,34.5,28.024013644475136,785.3453407457287,18.7,249.9,29.1,46.8,17.699999999999996,21.192,150.0
PTT,Sepsis-Negative,44475,1479819,0.029177442146987392,41.15519078133783,32.3,26.162408026172514,684.4715937279359,12.5,250.0,27.8,42.6,14.8,21.0,150.0
WBC,All,99447,1452763,0.06406800626203929,11.44640501975927,10.3,7.731012548653517,59.768555027438154,0.1,440.0,7.6,13.8,6.200000000000001,2.5,31.2
WBC,Sepsis-Positive,2325,25591,0.08328557099871042,13.325926881720429,11.8,9.721607282831629,94.50964816160496,0.1,168.6,8.3,16.2,7.899999999999999,0.7,43.47599999999998
WBC,Sepsis-Negative,97122,1427172,0.0637160547768344,11.401411214760817,10.3,7.671457595958835,58.851261646594516,0.1,440.0,7.6,13.7,6.1,2.5,30.8
Fibrinogen,All,10242,1541968,0.006598333988313437,287.38570591681315,250.0,153.0029076816572,23409.88975904172,34.0,1760.0,184.0,349.0,165.0,71.0,817.5900000000001
Fibrinogen,Sepsis-Positive,330,27586,0.0118211778191718,327.8333333333333,274.5,197.543330119165,39023.367274569406,35.0,1051.0,182.25,433.0,250.75,61.480000000000004,943.8499999999992
Fibrinogen,Sepsis-Negative,9912,1514382,0.006502682553365689,286.0390839386602,250.0,151.12137105524087,22837.668789615796,34.0,1760.0,184.0,348.0,164.0,71.11,807.0
Platelets,All,92209,1460001,0.059404977419292494,196.01391078961922,181.0,103.63536570615287,10740.289025048045,1.0,2322.0,126.0,244.0,118.0,34.0,542.0
Platelets,Sepsis-Positive,2099,25817,0.07518985528012609,187.8539780848023,163.0,118.49539334178162,14041.158243223543,2.0,1081.0,104.0,248.0,144.0,16.98,594.06
Platelets,Sepsis-Negative,90110,1434184,0.05911589234097884,196.20398623904117,181.0,103.25680228205758,10661.96721751593,1.0,2322.0,127.0,244.0,117.0,35.0,541.0
